,Unnamed: 0,date,views,year,month,days
132,132,2024-07-11,61812,2024,7,41
133,133,2024-07-12,56917,2024,7,42
134,134,2024-07-13,53871,2024,7,43
135,135,2024-07-14,48515,2024,7,44
136,136,2024-07-15,59271,2024,7,45
137,137,2024-07-16,63164,2024,7,46
138,138,2024-07-17,56742,2024,7,47
139,139,2024-07-18,56170,2024,7,48
140,140,2024-07-19,53573,2024,7,49
141,141,2024-07-20,50829,2024,7,50
142,142,2024-07-21,63212,2024,7,51
143,143,2024-07-22,70021,2024,7,52
144,144,2024-07-23,64806,2024,7,53
145,145,2024-07-24,63894,2024,7,54
146,146,2024-07-25,64398,2024,7,55
147,147,2024-07-26,62305,2024,7,56
148,148,2024-07-27,55792,2024,7,57
149,149,2024-07-28,61149,2024,7,58
150,150,2024-07-29,64920,2024,7,59
151,151,2024-07-30,63949,2024,7,60
152,152,2024-07-31,65170,2024,7,61
153,153,2024-08-01,59371,2024,8,62
154,154,2024-08-02,55141,2024,8,63
155,155,2024-08-03,51666,2024,8,64
156,156,2024-08-04,55689,2024,8,65
157,157,2024-08-05,61288,2024,8,66
158,158,2024-08-06,61333,2024,8,67
159,159,2024-08-07,64478,2024,8,68
160,160,2024-08-08,60149,2024,8,69
161,161,2024-08-09,56000,2024,8,70
162,162,2024-08-10,51631,2024,8,71
163,163,2024-08-11,54923,2024,8,72
164,164,2024-08-12,65188,2024,8,73
165,165,2024-08-13,65976,2024,8,74
166,166,2024-08-14,66471,2024,8,75
167,167,2024-08-15,60714,2024,8,76
168,168,2024-08-16,57776,2024,8,77
169,169,2024-08-17,55681,2024,8,78
170,170,2024-08-18,55754,2024,8,79
171,171,2024-08-19,61804,2024,8,80
172,172,2024-08-20,62096,2024,8,81
173,173,2024-08-21,59409,2024,8,82
174,174,2024-08-22,67134,2024,8,83
175,175,2024-08-23,57331,2024,8,84
176,176,2024-08-24,50327,2024,8,85
177,177,2024-08-25,54035,2024,8,86
178,178,2024-08-26,62147,2024,8,87
179,179,2024-08-27,66774,2024,8,88
180,180,2024-08-28,67891,2024,8,89
181,181,2024-08-29,65533,2024,8,90
182,182,2024-08-30,87970,2024,8,91
183,183,2024-08-31,63104,2024,8,92
184,184,2025-06-01,51203,2025,6,1
185,185,2025-06-02,63319,2025,6,2
186,186,2025-06-03,62293,2025,6,3
187,187,2025-06-04,69137,2025,6,4
188,188,2025-06-05,62793,2025,6,5
189,189,2025-06-06,57251,2025,6,6
190,190,2025-06-07,51916,2025,6,7
191,191,2025-06-08,79023,2025,6,8
192,192,2025-06-09,183873,2025,6,9
193,193,2025-06-10,147564,2025,6,10
194,194,2025-06-11,103500,2025,6,11
195,195,2025-06-12,66477,2025,6,12
196,196,2025-06-13,53943,2025,6,13
197,197,2025-06-14,50325,2025,6,14
198,198,2025-06-15,49184,2025,6,15
199,199,2025-06-16,52686,2025,6,16
200,200,2025-06-17,60949,2025,6,17
201,201,2025-06-18,53562,2025,6,18
202,202,2025-06-19,48654,2025,6,19
203,203,2025-06-20,52263,2025,6,20
204,204,2025-06-21,54143,2025,6,21
205,205,2025-06-22,56573,2025,6,22
206,206,2025-06-23,66203,2025,6,23
207,207,2025-06-24,59809,2025,6,24
208,208,2025-06-25,58752,2025,6,25
209,209,2025-06-26,54652,2025,6,26
210,210,2025-06-27,46054,2025,6,27
211,211,2025-06-28,42843,2025,6,28
212,212,2025-06-29,48450,2025,6,29
213,213,2025-06-30,55823,2025,6,30
214,214,2025-07-01,52669,2025,7,31
215,215,2025-07-02,51559,2025,7,32
216,216,2025-07-03,48266,2025,7,33
217,217,2025-07-04,53720,2025,7,34
218,218,2025-07-05,49338,2025,7,35
219,219,2025-07-06,51099,2025,7,36
220,220,2025-07-07,54109,2025,7,37
221,221,2025-07-08,54871,2025,7,38
222,222,2025-07-09,59451,2025,7,39
223,223,2025-07-10,62782,2025,7,40
224,224,2025-07-11,50565,2025,7,41
225,225,2025-07-12,45087,2025,7,42
226,226,2025-07-13,45441,2025,7,43
227,227,2025-07-14,48765,2025,7,44
228,228,2025-07-15,49604,2025,7,45
229,229,2025-07-16,50015,2025,7,46
230,230,2025-07-17,49428,2025,7,47
231,231,2025-07-18,48259,2025,7,48
232,232,2025-07-19,45106,2025,7,49
233,233,2025-07-20,42997,2025,7,50
234,234,2025-07-21,53161,2025,7,51
235,235,2025-07-22,43594,2025,7,52
236,236,2025-07-23,51109,2025,7,53
237,237,2025-07-24,49491,2025,7,54
238,238,2025-07-25,49703,2025,7,55
239,239,2025-07-26,43743,2025,7,56
240,240,2025-07-27,47713,2025,7,57
241,241,2025-07-28,52315,2025,7,58
